test_file_path,pass_cnt,total_cnt,pass_rate,full_test
/home/yangchenyu/megatran/data/DTT-test/Manual-Hard/chemical.json,0,3,0.0,"[{'input': 'K4[Fe(CN)6]', 'output': '368', 'code_output': None}, {'input': '(CH3)2CHOH', 'output': '60', 'code_output': None}, {'input': 'Fe3[Fe(CN)6]2', 'output': '591', 'code_output': None}]"
/home/yangchenyu/megatran/data/DTT-test/Manual-Hard/date.json,0,3,0.0,"[{'input': 'July 4th, 1776 at noon', 'output': '1776-07-04T12:00:00', 'code_output': None}, {'input': '1 เดือนตุลาคม 2005, 1:00 AM', 'output': '2005-10-01T01:00:00+00:00', 'code_output': None}, {'input': '2023-10-05 15:30 CST', 'output': '2023-10-05T21:30:00+00:00', 'code_output': None}]"
/home/yangchenyu/megatran/data/DTT-test/Manual-Hard/days.json,0,2,0.0,"[{'input': '1900/12/23', 'output': '358', 'code_output': '356'}, {'input': '1959/10/12', 'output': '21835', 'code_output': '21833'}]"
/home/yangchenyu/megatran/data/DTT-test/Manual-Hard/degree.json,1,4,0.25,"[{'input': '45 Degrees', 'output': '100%', 'code_output': '84%'}, {'input': '2.86 Degrees', 'output': '5%', 'code_output': '5%'}, {'input': '36.87 Degrees', 'output': '75%', 'code_output': '69%'}, {'input': '56.31 Degrees', 'output': '150%', 'code_output': '105%'}]"
/home/yangchenyu/megatran/data/DTT-test/Manual-Hard/excel_date.json,0,2,0.0,"[{'input': '2358', 'output': '1906/6/15', 'code_output': '1906/6/18'}, {'input': '21835', 'output': '1959/10/12', 'code_output': '1959/10/28'}]"
/home/yangchenyu/megatran/data/DTT-test/Manual-Hard/geo-1.json,0,2,0.0,"[{'input': '48°51\'29""N, 2°17\'40""E', 'output': '48.858, 2.294', 'code_output': None}, {'input': '51°28\'40""N, 0°0\'5""W', 'output': '51.478, -0.001', 'code_output': None}]"
/home/yangchenyu/megatran/data/DTT-test/Manual-Hard/geo-2.json,0,2,0.0,"[{'input': '10S X 360000 E 8400000', 'output': '-14.469, -124.299', 'code_output': '-14.469, -7048.680'}, {'input': '12N M 650000 E 2000000', 'output': '18.084, -109.583', 'code_output': '18.084, -6358.414'}]"
/home/yangchenyu/megatran/data/DTT-test/Manual-Hard/geo-3.json,0,1,0.0,"[{'input': '19SGB123456', 'output': '37.433, -66.6', 'code_output': 'Unknown location'}]"
/home/yangchenyu/megatran/data/DTT-test/Manual-Hard/geo-4.json,0,2,0.0,"[{'input': '-33.8688, 151.2093', 'output': 'UTM Easting: 334368mE, UTM Northing: 6250948mN, Zone: 56H', 'code_output': None}, {'input': '40.7128, -74.006', 'output': 'UTM Easting: 583959mE, UTM Northing: 4507350mN, Zone: 18T', 'code_output': None}]"
/home/yangchenyu/megatran/data/DTT-test/Manual-Hard/geo-5.json,0,2,0.0,"[{'input': '772181mE, 3753637mN, 32S', 'output': '33.888, 11.943', 'code_output': '37.54, 9.72'}, {'input': '397424mE, 7631951mN, 40W', 'output': '68.78, 54.46', 'code_output': '76.32, 13.97'}]"
/home/yangchenyu/megatran/data/DTT-test/Manual-Hard/gregorian.json,0,3,0.0,"[{'input': 'September 2009 C.E.', 'output': 'Shawwal 1430', 'code_output': None}, {'input': '25 April 2014 C.E.', 'output': '25 Jumada al-Thani 1435', 'code_output': None}, {'input': 'October 2043 C.E.', 'output': 'Dhul-Qadah 1465', 'code_output': None}]"
/home/yangchenyu/megatran/data/DTT-test/Manual-Hard/hex.json,3,3,1.0,"[{'input': 'FF', 'output': '255', 'code_output': '255'}, {'input': '2B4C', 'output': '11084', 'code_output': '11084'}, {'input': 'C0DE', 'output': '49374', 'code_output': '49374'}]"
/home/yangchenyu/megatran/data/DTT-test/Manual-Hard/hijri.json,0,3,0.0,"[{'input': 'Shawwal 1430', 'output': 'September 2009 C.E.', 'code_output': None}, {'input': '25 Jumada al-Thani 1435', 'output': '25 April 2014 C.E.', 'code_output': None}, {'input': 'Dhul-Qadah 1465', 'output': 'October 2043 C.E.', 'code_output': None}]"
/home/yangchenyu/megatran/data/DTT-test/Manual-Hard/inches.json,3,3,1.0,"[{'input': '89 cm', 'output': '2 feet and 11.0394 inches', 'code_output': '2 feet and 11.0394 inches'}, {'input': '134 cm', 'output': '4 feet and 4.7559 inches', 'code_output': '4 feet and 4.7559 inches'}, {'input': '41 cm', 'output': '1 feet and 4.1417 inches', 'code_output': '1 feet and 4.1417 inches'}]"
/home/yangchenyu/megatran/data/DTT-test/Manual-Hard/ip-address.json,2,5,0.4,"[{'input': '127.0.0.1', 'output': '::7f00:1', 'code_output': '::7f00:0001'}, {'input': '192.0.2.1', 'output': '::c000:201', 'code_output': '::c000:0201'}, {'input': '203.0.113.5', 'output': '::cb00:7105', 'code_output': '::cb00:7105'}, {'input': '192.168.1.1', 'output': '::c0a8:101', 'code_output': '::c0a8:0101'}, {'input': '198.51.100.9', 'output': '::c633:6409', 'code_output': '::c633:6409'}]"
/home/yangchenyu/megatran/data/DTT-test/Manual-Hard/mph.json,0,3,0.0,"[{'input': '23.2', 'output': '10.37 m/s', 'code_output': '6.44 m/s'}, {'input': '64.4', 'output': '28.79 m/s', 'code_output': '17.89 m/s'}, {'input': '4.49', 'output': '2.01 m/s', 'code_output': '1.25 m/s'}]"
/home/yangchenyu/megatran/data/DTT-test/Manual-Hard/octal.json,0,3,0.0,"[{'input': '6421', 'output': '3345', 'code_output': '5855'}, {'input': '323', 'output': '211', 'code_output': '-243'}, {'input': '555', 'output': '365', 'code_output': '-11'}]"
/home/yangchenyu/megatran/data/DTT-test/Manual-Hard/pounds.json,3,3,1.0,"[{'input': '0lb 8oz', 'output': '227g', 'code_output': '227g'}, {'input': '5lb 10oz', 'output': '2551g', 'code_output': '2551g'}, {'input': '3lb 5.643835oz', 'output': '1521g', 'code_output': '1521g'}]"
/home/yangchenyu/megatran/data/DTT-test/Manual-Hard/rectangular.json,0,2,0.0,"[{'input': '(-1.00, 1.73)', 'output': '(2, 120)', 'code_output': (1, 40)}, {'input': '(5.00, 8.66)', 'output': '(10, 60)', 'code_output': (14, 54)}]"
/home/yangchenyu/megatran/data/DTT-test/Manual-Hard/romans.json,2,2,1.0,"[{'input': 'DCCCXLV', 'output': '845', 'code_output': '845'}, {'input': 'MMMCMXCIX', 'output': '3999', 'code_output': '3999'}]"
/home/yangchenyu/megatran/data/DTT-test/Manual-Hard/time.json,4,4,1.0,"[{'input': '15:45:30', 'output': '15.7583 hours', 'code_output': '15.7583 hours'}, {'input': '14:10:20', 'output': '14.1722 hours', 'code_output': '14.1722 hours'}, {'input': '19:16:32', 'output': '19.2756 hours', 'code_output': '19.2756 hours'}, {'input': '09:14:23', 'output': '9.2397 hours', 'code_output': '9.2397 hours'}]"
