test_file_path,pass_cnt,total_cnt,pass_rate,full_test
/home/yangchenyu/megatran/data/DTT-test/SpreadSheet/FF-bikes.json,3,3,1.0,"[{'input': 'Ducati125', 'output': 'Ducati', 'code_output': 'Ducati'}, {'input': 'Ducati250', 'output': 'Ducati', 'code_output': 'Ducati'}, {'input': 'Ducati100', 'output': 'Ducati', 'code_output': 'Ducati'}]"
/home/yangchenyu/megatran/data/DTT-test/SpreadSheet/FF-dr-name.json,1,1,1.0,"[{'input': 'Mariya Sergienko', 'output': 'Dr. Mariya', 'code_output': 'Dr. Mariya'}]"
/home/yangchenyu/megatran/data/DTT-test/SpreadSheet/FF-firstname.json,1,1,1.0,"[{'input': 'Jan Kotas', 'output': 'Jan', 'code_output': 'Jan'}]"
/home/yangchenyu/megatran/data/DTT-test/SpreadSheet/FF-initials.json,1,1,1.0,"[{'input': 'Mariya Sergienko', 'output': 'M.S.', 'code_output': 'M.S.'}]"
/home/yangchenyu/megatran/data/DTT-test/SpreadSheet/FF-lastname.json,1,1,1.0,"[{'input': 'Mariya Sergienko', 'output': 'Sergienko', 'code_output': 'Sergienko'}]"
/home/yangchenyu/megatran/data/DTT-test/SpreadSheet/FF-name-combine-2.json,1,1,1.0,"[{'input': 'Jan Kotas', 'output': 'Jan K.', 'code_output': 'Jan K.'}]"
/home/yangchenyu/megatran/data/DTT-test/SpreadSheet/FF-name-combine-3.json,3,3,1.0,"[{'input': 'Brendan Hage', 'output': 'B. Hage', 'code_output': 'B. Hage'}, {'input': 'Launa Withers', 'output': 'L. Withers', 'code_output': 'L. Withers'}, {'input': 'Rudolf Akiyama', 'output': 'R. Akiyama', 'code_output': 'R. Akiyama'}]"
/home/yangchenyu/megatran/data/DTT-test/SpreadSheet/FF-name-combine-4.json,2,2,1.0,"[{'input': 'Lakenya Edison', 'output': 'Edison- L.', 'code_output': 'Edison- L.'}, {'input': 'Rudolf Akiyama', 'output': 'Akiyama- R.', 'code_output': 'Akiyama- R.'}]"
/home/yangchenyu/megatran/data/DTT-test/SpreadSheet/FF-name-combine.json,3,3,1.0,"[{'input': 'Lara Constable', 'output': 'Lara Constable', 'code_output': 'Lara Constable'}, {'input': 'Bradford Lango', 'output': 'Bradford Lango', 'code_output': 'Bradford Lango'}, {'input': 'Rudolf Akiyama', 'output': 'Rudolf Akiyama', 'code_output': 'Rudolf Akiyama'}]"
/home/yangchenyu/megatran/data/DTT-test/SpreadSheet/FF-phone-1.json,3,3,1.0,"[{'input': '938-242-504', 'output': '242', 'code_output': '242'}, {'input': '623-599-749', 'output': '599', 'code_output': '599'}, {'input': '308-916-545', 'output': '916', 'code_output': '916'}]"
/home/yangchenyu/megatran/data/DTT-test/SpreadSheet/FF-phone-10.json,4,4,1.0,"[{'input': '+172 027-507-632', 'output': '+172 (027) 507-632', 'code_output': '+172 (027) 507-632'}, {'input': '+6 775-969-238', 'output': '+6 (775) 969-238', 'code_output': '+6 (775) 969-238'}, {'input': '+95 310-537-401', 'output': '+95 (310) 537-401', 'code_output': '+95 (310) 537-401'}, {'input': '+83 973-757-831', 'output': '+83 (973) 757-831', 'code_output': '+83 (973) 757-831'}]"
/home/yangchenyu/megatran/data/DTT-test/SpreadSheet/FF-phone-2.json,3,3,1.0,"[{'input': '938-242-504', 'output': '504', 'code_output': '504'}, {'input': '623-599-749', 'output': '749', 'code_output': '749'}, {'input': '118-980-214', 'output': '214', 'code_output': '214'}]"
